Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
9.5020000e-04,0,0.01
9.5020100e-04,0.02,0.03
9.5020200e-04,0,0.01
9.5020300e-04,0,0.01
9.5020400e-04,0,0.01
9.5020500e-04,0,0.03
9.5020600e-04,0,0.03
9.5020700e-04,0.02,0.01
9.5020800e-04,0.02,0.03
9.5020900e-04,0,0.01
9.5021000e-04,0.02,0.01
9.5021100e-04,0,0.03
9.5021200e-04,0,0.01
9.5021300e-04,0,0.03
9.5021400e-04,0.02,0.03
9.5021500e-04,0,0.03
9.5021600e-04,0,0.01
9.5021700e-04,0,0.03
9.5021800e-04,0,0.03
9.5021900e-04,0,0.01
9.5022000e-04,0.02,0.01
9.5022100e-04,0,0.01
9.5022200e-04,0,0.01
9.5022300e-04,0,0.01
9.5022400e-04,0,0.03
9.5022500e-04,0,0.03
9.5022600e-04,0,0.01
9.5022700e-04,0,0.01
9.5022800e-04,0.02,0.01
9.5022900e-04,0.02,0.01
9.5023000e-04,0.02,-0.01
9.5023100e-04,0.02,-0.01
9.5023200e-04,0.02,-0.01
9.5023300e-04,0,0.01
9.5023400e-04,-0.02,0.03
9.5023500e-04,0,0.03
9.5023600e-04,0,0.03
9.5023700e-04,0.02,0.01
9.5023800e-04,0.02,0.01
9.5023900e-04,0.02,0.01
9.5024000e-04,0,0.01
9.5024100e-04,0,0.01
9.5024200e-04,0.02,0.01
9.5024300e-04,0,0.01
9.5024400e-04,0.02,-0.01
9.5024500e-04,0,-0.01
9.5024600e-04,0,-0.01
9.5024700e-04,0,0.01
9.5024800e-04,0.02,0.01
9.5024900e-04,0,0.01
9.5025000e-04,0,0.01
9.5025100e-04,0.02,0.01
9.5025200e-04,0.02,0.01
9.5025300e-04,0.02,-0.01
9.5025400e-04,0,0.01
9.5025500e-04,0,-0.01
9.5025600e-04,0,-0.01
9.5025700e-04,-0.02,-0.01
9.5025800e-04,0,0.01
9.5025900e-04,0.02,0.01
9.5026000e-04,0.02,0.01
9.5026100e-04,0.02,0.01
9.5026200e-04,0,0.01
9.5026300e-04,0,0.03
9.5026400e-04,0,0.01
9.5026500e-04,0,0.03
9.5026600e-04,0,0.01
9.5026700e-04,0.02,0.01
9.5026800e-04,0.02,0.01
9.5026900e-04,0.02,-0.01
9.5027000e-04,0.02,0.01
9.5027100e-04,0,-0.01
9.5027200e-04,0.02,-0.01
9.5027300e-04,0.02,-0.01
9.5027400e-04,0,-0.01
9.5027500e-04,0,0.01
9.5027600e-04,0,0.01
9.5027700e-04,0.02,0.03
9.5027800e-04,0.02,0.01
9.5027900e-04,0,0.01
9.5028000e-04,0,0.01
9.5028100e-04,0,-0.01
9.5028200e-04,0,-0.01
9.5028300e-04,0,-0.01
9.5028400e-04,0,-0.01
9.5028500e-04,0,0.01
9.5028600e-04,0,-0.01
9.5028700e-04,0,0.03
9.5028800e-04,0,0.01
9.5028900e-04,0,0.01
9.5029000e-04,0.02,0.01
9.5029100e-04,-0.02,0.03
9.5029200e-04,-0.02,0.01
9.5029300e-04,-0.02,0.01
9.5029400e-04,0,-0.01
9.5029500e-04,0,0.01
9.5029600e-04,0.02,0.01
9.5029700e-04,0,0.01
9.5029800e-04,0,0.01
9.5029900e-04,0,0.01
9.5030000e-04,0,-0.01
9.5030100e-04,0,0.01
9.5030200e-04,0,0.03
9.5030300e-04,0,0.03
9.5030400e-04,0,0.01
9.5030500e-04,0,0.01
9.5030600e-04,0,0.01
9.5030700e-04,-0.02,0.01
9.5030800e-04,-0.02,0.01
9.5030900e-04,-0.02,0.01
9.5031000e-04,0,0.01
9.5031100e-04,0,0.01
9.5031200e-04,0,0.01
9.5031300e-04,0,0.03
9.5031400e-04,0,0.01
9.5031500e-04,0,-0.01
9.5031600e-04,0,-0.01
9.5031700e-04,0.02,0.01
9.5031800e-04,0.02,-0.01
9.5031900e-04,0.02,0.01
9.5032000e-04,0.02,0.01
9.5032100e-04,0,0.01
9.5032200e-04,0.02,0.01
9.5032300e-04,0,0.03
9.5032400e-04,0,0.01
9.5032500e-04,0,0.01
9.5032600e-04,0,0.01
9.5032700e-04,0,0.01
9.5032800e-04,0.02,0.01
9.5032900e-04,0,0.01
9.5033000e-04,0,0.01
9.5033100e-04,0,0.01
9.5033200e-04,0,0.01
9.5033300e-04,0,0.03
9.5033400e-04,0.02,0.01
9.5033500e-04,0.02,0.03
9.5033600e-04,0.02,0.01
9.5033700e-04,0,0.01
9.5033800e-04,0,0.01
9.5033900e-04,0,0.01
9.5034000e-04,0,-0.01
9.5034100e-04,0,0.01
9.5034200e-04,0.02,0.01
9.5034300e-04,0,0.01
9.5034400e-04,0,-0.01
9.5034500e-04,0,0.01
9.5034600e-04,0,0.01
9.5034700e-04,0,-0.01
9.5034800e-04,0,0.01
9.5034900e-04,0,0.03
9.5035000e-04,0.02,0.03
9.5035100e-04,0,0.03
9.5035200e-04,0,0.01
9.5035300e-04,0,0.01
9.5035400e-04,0,0.01
9.5035500e-04,0,0.01
9.5035600e-04,0.02,-0.01
9.5035700e-04,0,0.01
9.5035800e-04,0,-0.01
9.5035900e-04,0,0.01
9.5036000e-04,0.02,0.01
9.5036100e-04,0,0.01
9.5036200e-04,0.02,0.03
9.5036300e-04,0,0.01
9.5036400e-04,0.02,0.01
9.5036500e-04,0,0.01
9.5036600e-04,0.02,0.01
9.5036700e-04,0,0.01
9.5036800e-04,0.02,-0.01
9.5036900e-04,0,0.01
9.5037000e-04,0,0.01
9.5037100e-04,0,0.01
9.5037200e-04,0,0.01
9.5037300e-04,0,0.03
9.5037400e-04,0,0.03
9.5037500e-04,0,0.03
9.5037600e-04,0,0.03
9.5037700e-04,0.02,0.03
9.5037800e-04,0.02,0.01
9.5037900e-04,0,0.03
9.5038000e-04,0,0.01
9.5038100e-04,0,0.01
9.5038200e-04,0.02,0.01
9.5038300e-04,0.02,0.01
9.5038400e-04,0.02,0.01
9.5038500e-04,0.02,0.01
9.5038600e-04,0.02,0.01
9.5038700e-04,0,-0.01
9.5038800e-04,0,-0.01
9.5038900e-04,0,0.01
9.5039000e-04,0.02,0.01
9.5039100e-04,0,0.01
9.5039200e-04,0,0.01
9.5039300e-04,0,0.01
9.5039400e-04,0,0.01
9.5039500e-04,0,0.01
9.5039600e-04,0,0.01
9.5039700e-04,0,0.01
9.5039800e-04,0,0.01
9.5039900e-04,0,0.01
9.5040000e-04,0,0.03
9.5040100e-04,0,0.03
9.5040200e-04,0.02,0.03
9.5040300e-04,0,0.03
9.5040400e-04,0.02,0.01
9.5040500e-04,0.02,0.01
9.5040600e-04,0.02,0.01
9.5040700e-04,0,0.01
9.5040800e-04,0,-0.01
