Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH3
1.29500360e-02,0.0600001,0.01
1.29500370e-02,0.0600001,0.01
1.29500380e-02,0.0600001,0.01
1.29500390e-02,0.0600001,0.01
1.29500400e-02,0.0600001,0.01
1.29500410e-02,0.0600001,0.01
1.29500420e-02,0.0600001,0.01
1.29500430e-02,0.0600001,0.01
1.29500440e-02,0.0600001,0.01
1.29500450e-02,0.0600001,0.01
1.29500460e-02,0.0600001,0.01
1.29500470e-02,0.0600001,0.03
1.29500480e-02,0.0600001,0.03
1.29500490e-02,0.0400001,0.03
1.29500500e-02,0.0400001,0.03
1.29500510e-02,0.0400001,0.03
1.29500520e-02,0.0600001,0.03
1.29500530e-02,0.0600001,0.01
1.29500540e-02,0.0600001,0.01
1.29500550e-02,0.0600001,0.01
1.29500560e-02,0.0600001,0.01
1.29500570e-02,0.0600001,0.03
1.29500580e-02,0.0600001,0.03
1.29500590e-02,0.0600001,0.03
1.29500600e-02,0.0600001,0.03
1.29500610e-02,0.0600001,0.03
1.29500620e-02,0.0600001,0.01
1.29500630e-02,0.0600001,0.01
1.29500640e-02,0.0600001,0.01
1.29500650e-02,0.0600001,0.01
1.29500660e-02,0.0800001,0.01
1.29500670e-02,0.0800001,0.03
1.29500680e-02,0.0800001,0.01
1.29500690e-02,0.0600001,0.03
1.29500700e-02,0.0600001,0.01
1.29500710e-02,0.0600001,0.01
1.29500720e-02,0.0600001,0.01
1.29500730e-02,0.0400001,0.01
1.29500740e-02,0.0600001,0.01
1.29500750e-02,0.0600001,0.01
1.29500760e-02,0.0600001,0.01
1.29500770e-02,0.0400001,0.01
1.29500780e-02,0.0600001,0.01
1.29500790e-02,0.0400001,0.01
1.29500800e-02,0.0600001,0.01
1.29500810e-02,0.0400001,0.01
1.29500820e-02,0.0400001,0.01
1.29500830e-02,0.0400001,0.01
1.29500840e-02,0.0800001,0.01
1.29500850e-02,0.0600001,0.01
1.29500860e-02,0.0600001,0.01
1.29500870e-02,0.0600001,0.01
1.29500880e-02,0.0400001,0.01
1.29500890e-02,0.0600001,0.01
1.29500900e-02,0.0400001,0.01
1.29500910e-02,0.0400001,0.03
1.29500920e-02,0.0600001,0.03
1.29500930e-02,0.0600001,0.03
1.29500940e-02,0.0600001,0.01
1.29500950e-02,0.0600001,0.03
1.29500960e-02,0.0600001,0.03
1.29500970e-02,0.0400001,0.05
1.29500980e-02,0.0400001,0.03
1.29500990e-02,0.0400001,0.01
1.29501000e-02,0.0600001,-0.00999996
1.29501010e-02,0.0400001,0.01
1.29501020e-02,0.0400001,0.03
1.29501030e-02,0.0400001,0.03
1.29501040e-02,0.0600001,0.01
1.29501050e-02,0.0600001,0.03
1.29501060e-02,0.0600001,0.01
1.29501070e-02,0.0600001,0.01
1.29501080e-02,0.0600001,0.01
1.29501090e-02,0.0600001,0.01
1.29501100e-02,0.0600001,0.01
1.29501110e-02,0.0600001,0.01
1.29501120e-02,0.0600001,0.01
1.29501130e-02,0.0400001,0.01
1.29501140e-02,0.0800001,0.01
1.29501150e-02,0.0600001,0.03
1.29501160e-02,0.0800001,0.01
1.29501170e-02,0.0600001,0.01
1.29501180e-02,0.0600001,0.01
1.29501190e-02,0.0400001,0.01
1.29501200e-02,0.0600001,0.01
1.29501210e-02,0.0400001,0.01
1.29501220e-02,0.0400001,-0.00999996
1.29501230e-02,0.0400001,0.01
1.29501240e-02,0.0600001,0.01
1.29501250e-02,0.0600001,0.01
1.29501260e-02,0.0600001,0.01
1.29501270e-02,0.0600001,0.01
1.29501280e-02,0.0600001,0.01
1.29501290e-02,0.0600001,0.03
1.29501300e-02,0.0600001,0.03
1.29501310e-02,0.0600001,0.03
1.29501320e-02,0.0600001,0.03
1.29501330e-02,0.0600001,0.03
1.29501340e-02,0.0600001,0.03
1.29501350e-02,0.0400001,0.01
1.29501360e-02,0.0600001,0.03
1.29501370e-02,0.0400001,0.03
1.29501380e-02,0.0400001,0.05
1.29501390e-02,0.0400001,0.03
1.29501400e-02,0.0600001,0.03
1.29501410e-02,0.0600001,0.03
1.29501420e-02,0.0600001,0.01
1.29501430e-02,0.0400001,0.03
1.29501440e-02,0.0600001,0.03
1.29501450e-02,0.0600001,0.03
1.29501460e-02,0.0800001,0.03
1.29501470e-02,0.0600001,0.03
1.29501480e-02,0.0600001,0.01
1.29501490e-02,0.0600001,0.01
1.29501500e-02,0.0600001,0.01
1.29501510e-02,0.0400001,0.01
1.29501520e-02,0.0400001,-0.00999996
1.29501530e-02,0.0400001,0.01
1.29501540e-02,0.0600001,0.01
1.29501550e-02,0.0400001,0.01
1.29501560e-02,0.0600001,0.01
1.29501570e-02,0.0400001,0.01
1.29501580e-02,0.0400001,-0.00999996
1.29501590e-02,0.0400001,0.01
1.29501600e-02,0.0600001,0.01
1.29501610e-02,0.0400001,0.01
1.29501620e-02,0.0600001,0.01
1.29501630e-02,0.0600001,0.01
1.29501640e-02,0.0600001,-0.00999996
1.29501650e-02,0.0400001,0.01
1.29501660e-02,0.0600001,0.01
1.29501670e-02,0.0600001,0.03
1.29501680e-02,0.0600001,0.01
1.29501690e-02,0.0600001,0.03
1.29501700e-02,0.0600001,0.01
1.29501710e-02,0.0600001,0.01
1.29501720e-02,0.0600001,0.01
1.29501730e-02,0.0400001,0.01
1.29501740e-02,0.0400001,0.01
1.29501750e-02,0.0600001,0.01
1.29501760e-02,0.0600001,0.01
1.29501770e-02,0.0600001,0.03
1.29501780e-02,0.0600001,0.01
1.29501790e-02,0.0600001,0.03
1.29501800e-02,0.0800001,0.03
1.29501810e-02,0.0600001,0.03
1.29501820e-02,0.0600001,0.01
1.29501830e-02,0.0600001,0.01
1.29501840e-02,0.0600001,0.01
1.29501850e-02,0.0600001,0.03
1.29501860e-02,0.0600001,0.01
1.29501870e-02,0.0600001,0.01
1.29501880e-02,0.0600001,0.01
1.29501890e-02,0.0600001,0.03
1.29501900e-02,0.0600001,0.01
1.29501910e-02,0.0400001,0.01
1.29501920e-02,0.0600001,0.01
1.29501930e-02,0.0600001,0.03
1.29501940e-02,0.0600001,0.01
1.29501950e-02,0.0600001,0.01
1.29501960e-02,0.0600001,0.01
1.29501970e-02,0.0600001,0.01
1.29501980e-02,0.0600001,0.01
1.29501990e-02,0.0600001,0.01
1.29502000e-02,0.0600001,-0.00999996
1.29502010e-02,0.0600001,0.01
1.29502020e-02,0.0600001,0.03
1.29502030e-02,0.0600001,0.03
1.29502040e-02,0.0600001,0.01
1.29502050e-02,0.0400001,0.01
1.29502060e-02,0.0400001,0.01
1.29502070e-02,0.0600001,0.01
1.29502080e-02,0.0600001,0.01
