Time (s),Force (N),Displacement (m)
53.5,-3.526069403,0.275000006
53.50999832,-3.526069403,0.275000006
53.52000046,-3.526069403,0.274977833
53.52999878,-3.526069403,0.2747778594
53.54000092,-3.524935961,0.2745779157
53.54999924,-3.521222115,0.2743779719
53.56000137,-3.518539667,0.2741559446
53.56999969,-3.515652418,0.2737779915
53.58000183,-3.512040854,0.273578018
53.59000015,-3.510082483,0.2733780742
53.59999847,-3.506268024,0.2731561959
53.61000061,-3.500799656,0.2727781236
53.61999893,-3.495955229,0.2725563347
53.63000107,-3.48862958,0.2721564174
53.63999939,-3.484088898,0.2717347145
53.65000153,-3.480274677,0.2711348236
53.65999985,-3.473675728,0.2705349326
53.66999817,-3.467378855,0.2699350119
53.68000031,-3.462536573,0.2693134844
53.68999863,-3.455009222,0.2685351968
53.70000076,-3.445725918,0.267935276
53.70999908,-3.436442852,0.2673138678
53.72000122,-3.426230907,0.2665355206
53.72999954,-3.417975903,0.26593557
53.74000168,-3.411577225,0.2653142512
53.75,-3.406206131,0.2645144165
53.75999832,-3.404150963,0.2637145221
53.77000046,-3.3974545,0.2628933489
53.77999878,-3.387144089,0.2618935108
53.79000092,-3.37713027,0.2609149218
53.79999924,-3.367452621,0.2601150274
53.81000137,-3.35372448,0.2593152225
53.81999969,-3.343709707,0.2585153282
53.83000183,-3.33515811,0.2577154934
53.84000015,-3.324115992,0.2568945289
53.84999847,-3.315858841,0.2558946609
53.86000061,-3.308432817,0.2549158633
53.86999893,-3.299980402,0.2541159987
53.88000107,-3.290599585,0.2533161342
53.88999939,-3.279556751,0.2525162697
53.90000153,-3.270273685,0.2517164052
53.90999985,-3.260990381,0.2509165108
53.91999817,-3.251707077,0.2501166463
53.93000031,-3.242424011,0.2493167818
53.93999863,-3.233140469,0.2485377043
53.95000076,-3.223760843,0.2479377985
53.95999908,-3.212717056,0.2473171949
53.97000122,-3.204554319,0.2465379834
53.97999954,-3.197864532,0.2459381074
53.99000168,-3.189604998,0.2453175932
54,-3.182178497,0.2445383072
54.00999832,-3.17465663,0.2439384013
54.02000046,-3.164445162,0.2433180064
