Time (s),Accel_y (m/s^2)
1,-8.170272827
1.00999999,-8.175173759
1.019999981,-8.17753315
1.029999971,-8.178697586
1.039999962,-8.17923069
1.049999952,-8.181446075
1.059999943,-8.181458473
1.070000052,-8.179498672
1.080000043,-8.176012039
1.090000033,-8.172086716
1.100000024,-8.162607193
1.110000014,-8.156606674
1.120000005,-8.150154114
1.129999995,-8.148763657
1.139999986,-8.148983955
1.149999976,-8.154578209
1.159999967,-8.164779663
1.169999957,-8.174812317
1.179999948,-8.181939125
1.190000057,-8.187689781
1.200000048,-8.1879673
1.210000038,-8.186461449
1.220000029,-8.179854393
1.230000019,-8.176728249
1.24000001,-8.173335075
1.25,-8.171568871
1.25999999,-8.167315483
1.269999981,-8.165255547
1.279999971,-8.162077904
1.289999962,-8.159422874
1.299999952,-8.160022736
1.309999943,-8.16658783
1.320000052,-8.174323082
1.330000043,-8.178796768
1.340000033,-8.181842804
1.350000024,-8.184317589
1.360000014,-8.186795235
1.370000005,-8.192811012
1.379999995,-8.195807457
1.389999986,-8.192777634
1.399999976,-8.186748505
1.409999967,-8.179027557
1.419999957,-8.172105789
1.429999948,-8.167320251
1.440000057,-8.16566658
1.450000048,-8.161704063
1.460000038,-8.158553123
1.470000029,-8.157726288
1.480000019,-8.160949707
1.49000001,-8.169568062
1.5,-8.183031082
1.50999999,-8.194909096
1.519999981,-8.205071449
1.529999971,-8.205933571
1.539999962,-8.199074745
1.549999952,-8.187108994
1.559999943,-8.176560402
1.570000052,-8.165946007
1.580000043,-8.160355568
1.590000033,-8.158557892
1.600000024,-8.157927513
1.610000014,-8.161854744
1.620000005,-8.166381836
1.629999995,-8.172280312
1.639999986,-8.179925919
1.649999976,-8.185984612
1.659999967,-8.18778038
1.669999957,-8.184108734
1.679999948,-8.179933548
1.690000057,-8.173520088
1.700000048,-8.171221733
1.710000038,-8.170562744
1.720000029,-8.172638893
1.730000019,-8.171427727
1.74000001,-8.171912193
1.75,-8.171136856
1.75999999,-8.172142982
1.769999981,-8.170604706
1.779999971,-8.168874741
1.789999962,-8.167082787
1.799999952,-8.172311783
1.809999943,-8.176599503
1.820000052,-8.181679726
1.830000043,-8.187466621
1.840000033,-8.188401222
1.850000024,-8.188096046
1.860000014,-8.184700012
1.870000005,-8.183329582
1.879999995,-8.178828239
1.889999986,-8.172949791
1.899999976,-8.163131714
1.909999967,-8.159945488
1.919999957,-8.158654213
1.929999948,-8.159492493
1.940000057,-8.165110588
1.950000048,-8.169850349
1.960000038,-8.173517227
1.970000029,-8.174114227
1.980000019,-8.179204941
1.99000001,-8.182626724
2,-8.18295002
